Ref	Original	Compressed	Target	Fragment	Concatenation
HRA 6(5)	"In relation to a particular act, a person is not a public authority by virtue only of subsection (3)(b) if the nature of the act is private."	A person is not a public authority by virtue only of subsection (3)(b) if the act is private.	Yes	No	No
HRA 6(6)	"“An act” includes a failure to act but does not include a failure to— (a) introduce in, or lay before, Parliament a proposal for legislation; or (b) make any primary legislation or remedial order."	“An act” includes a failure to act but does not include a failure to— (a) introduce in Parliament a proposal for legislation; or (b) make any primary legislation or remedial order.	No	No	Yes
HRA 6(6)	"introduce in, or lay before, Parliament a proposal for legislation; or"	introduce in Parliament a proposal for legislation; or	Yes	yes	No
HRA 7(1)	"A person who claims that a public authority has acted (or proposes to act) in a way which is made unlawful by section 6(1) may— (a) bring proceedings against the authority under this Act in the appropriate court or tribunal, or (b) rely on the Convention right or rights concerned in any legal proceedings, but only if he is (or would be) a victim of the unlawful act.
"	"A person who claims that a public authority has acted in a way which is unlawful by section 6(1) may— (a) bring proceedings against the authority, or (b) rely on the Convention right in any legal proceedings, but only if he is a victim of the unlawful act.
"	No	No	Yes
HRA 7(1)	A person who claims that a public authority has acted (or proposes to act) in a way which is made unlawful by section 6(1) may—	A person who claims that a public authority has acted in a way which is unlawful by section 6(1) may—	Yes	yes	No
HRA 7(1)	"bring proceedings against the authority under this Act in the appropriate court or tribunal, or"	"bring proceedings against the authority, or"	Yes	yes	No
HRA 7(1)	"rely on the Convention right or rights concerned in any legal proceedings,"	"rely on the Convention right in any legal proceedings,"	Yes	yes	No
HRA 7(1)	but only if he is (or would be) a victim of the unlawful act.	but only if he is a victim of the unlawful act.	Yes	yes	No
HRA 7(5)	"Proceedings under subsection (1)(a) must be brought before the end of— (a) the period of one year beginning with the date on which the act complained of took place; or (b) such longer period as the court or tribunal considers equitable having regard to all the circumstances, but that is subject to any rule imposing a stricter time limit in relation to the procedure in question.
"	"Proceedings must be brought before the end of— (a) one year beginning with the date the act took place; or (b) such longer period as the court considers equitable, but subject to any rule imposing a stricter time limit.
"	No	No	Yes
HRA 7(5)	Proceedings under subsection (1)(a) must be brought before the end of—	Proceedings must be brought before the end of—	Yes	yes	No
HRA 7(5)	the period of one year beginning with the date on which the act complained of took place; or	one year beginning with the date the act took place; or	Yes	yes	No
HRA 7(5)	"such longer period as the court or tribunal considers equitable having regard to all the circumstances,"	"such longer period as the court considers equitable,"	Yes	yes	No
HRA 7(5)	but that is subject to any rule imposing a stricter time limit in relation to the procedure in question.	but subject to any rule imposing a stricter time limit.	Yes	yes	No
HRA 7(11)	"The Minister who has power to make rules in relation to a particular tribunal may, to the extent he considers it necessary to ensure that the tribunal can provide an appropriate remedy in relation to an act (or proposed act) of a public authority which is (or would be) unlawful as a result of section 6(1), by order add to— (a) the relief or remedies which the tribunal may grant; or (b) the grounds on which it may grant any of them."	"The Minister who has power to make rules in relation to a particular tribunal may, to the extent he considers it necessary to ensure an appropriate remedy, add to— (a) the remedies which the tribunal may grant; or (b) the grounds on which it may grant them."	No	No	Yes
HRA 7(11)	"The Minister who has power to make rules in relation to a particular tribunal may, to the extent he considers it necessary to ensure that the tribunal can provide an appropriate remedy in relation to an act (or proposed act) of a public authority which is (or would be) unlawful as a result of section 6(1), by order add to—"	"The Minister who has power to make rules in relation to a particular tribunal may, to the extent he considers it necessary to ensure an appropriate remedy, add to—"	Yes	yes	No
HRA 7(11)	the relief or remedies which the tribunal may grant; or	the remedies which the tribunal may grant; or	Yes	yes	No
HRA 7(11)	the grounds on which it may grant any of them.	the grounds on which it may grant them.	Yes	yes	No
FSMA 204A(2)	"“Relevant requirement” means a requirement imposed (a) by or under this Act, (b) by a qualifying EU provision specified, or of a description specified, for the purposes of this subsection by the Treasury by order, or (c) by the Alternative Investment Fund Managers Regulations 2013"	"“Relevant requirement” means a requirement imposed (a) by this Act, (b) by a qualifying EU provision specified by the Treasury, or (c) by the Alternative Investment Fund Managers Regulations 2013"	No	No	Yes
FSMA 204A(2)	by or under this Act	by this Act	Yes	yes	No
FSMA 204A(2)	"by a qualifying EU provision specified, or of a description specified, for the purposes of this subsection by the Treasury by order, or"	"by a qualifying EU provision specified by the Treasury, or"	Yes	yes	No
FSMA 204A(3)	The PRA is “the appropriate regulator” in the case of a contravention of— (a) a requirement that is imposed under any provision of this Act by the PRA; (b) a requirement under section 56(6) where the authorised person concerned is a PRA-authorised person and the prohibition order concerned is made by the PRA; (c) a requirement under section 59(1) or (2) where the authorised person concerned is a PRA-authorised person and the approval concerned falls to be given by the PRA.	The PRA is “the appropriate regulator” in the case of— (a) a requirement that is imposed under this Act by the PRA; (b) a requirement under section 56(6) where the authorised person is a PRA-authorised person and the prohibition order is made by the PRA; (c) a requirement under section 59(1) or (2) where the authorised person is a PRA-authorised person and the approval falls to be given by the PRA.	No	No	Yes
FSMA 204A(3)	The PRA is “the appropriate regulator” in the case of a contravention of—	The PRA is “the appropriate regulator” in the case of—	Yes	yes	No
FSMA 204A(3)	a requirement that is imposed under any provision of this Act by the PRA	a requirement that is imposed under this Act by the PRA	Yes	yes	No
FSMA 204A(3)	a requirement under section 56(6) where the authorised person concerned is a PRA-authorised person and the prohibition order concerned is made by the PRA;	a requirement under section 56(6) where the authorised person is a PRA-authorised person and the prohibition order is made by the PRA;	Yes	yes	No
FSMA 204A(3)	a requirement under section 59(1) or (2) where the authorised person concerned is a PRA-authorised person and the approval concerned falls to be given by the PRA.	a requirement under section 59(1) or (2) where the authorised person is a PRA-authorised person and the approval falls to be given by the PRA.	Yes	yes	No
FSMA 204A(4)	"In the case of a contravention of a requirement that is imposed by a qualifying EU provision, “the appropriate regulator” for the purpose of any provision of this Part is whichever of the PRA or the FCA (or both) is specified by the Treasury by order in relation to the qualifying EU provision for the purposes of that provision of this Part."	"In the case of a requirement imposed by a EU provision, “the appropriate regulator” is whichever of the PRA or the FCA (or both) is specified by the Treasury."	Yes	No	No
FSMA 204A(5)	"In the case of a contravention of a requirement where the contravention constitutes an offence, the “appropriate regulator” is whichever of the PRA or the FCA has power to prosecute the offence (see section 401)."	"Where the contravention constitutes an offence, the “appropriate regulator” is whichever of the PRA or the FCA has power to prosecute the offence."	Yes	No	No
FSMA 204A(6)	The FCA is “the appropriate regulator” in the case of a contravention of any other requirement imposed by or under this Act.	The FCA is “the appropriate regulator” in the case of any other requirement imposed by this Act.	Yes	No	No
FSMA 205	"If the appropriate regulator considers that an authorised person has contravened a relevant requirement imposed on the person, it may publish a statement to that effect."	"If the regulator considers that an authorised person has contravened a requirement, it may publish a statement to that effect."	Yes	No	No
FSMA 206	"If the appropriate regulator considers that an authorised person has contravened a relevant requirement imposed on the person, it may impose on him a penalty, in respect of the contravention, of such amount as it considers appropriate."	"If the regulator considers that an authorised person has contravened a requirement, it may impose a penalty of such amount as it considers appropriate."	Yes	No	No
FSMA 206A(1)	"If the appropriate regulator considers that an authorised person has contravened a relevant requirement imposed on the person, it may— (a) suspend, for such period as it considers appropriate, any permission which the person has to carry on a regulated activity; or (b) impose, for such period as it considers appropriate, such limitations or other restrictions in relation to the carrying on of a regulated activity by the person as it considers appropriate."	"If the regulator considers that an authorised person has contravened a requirement, it may— (a) suspend any permission which the person has to carry on a regulated activity; or (b) impose limitations or other restrictions in relation to the carrying on of a regulated activity by the person."	No	No	Yes
FSMA 206A(1)	"If the appropriate regulator considers that an authorised person has contravened a relevant requirement imposed on the person, it may—"	"If the regulator considers that an authorised person has contravened a requirement, it may—"	Yes	yes	No
FSMA 206A(1)	"suspend, for such period as it considers appropriate, any permission which the person has to carry on a regulated activity; or"	suspend any permission which the person has to carry on a regulated activity; or	Yes	yes	No
FSMA 206A(1)	"impose, for such period as it considers appropriate, such limitations or other restrictions in relation to the carrying on of a regulated activity by the person as it considers appropriate."	impose limitations or other restrictions in relation to the carrying on of a regulated activity by the person.	Yes	yes	No
FSMA 206A(2)	"In subsection (1)— “permission” means any permission that the authorised person has, whether given (or treated as given) by the FCA or the PRA or conferred by any provision of this Act"	“permission” means any permission that the authorised person has given by the FCA or the PRA	No	No	No
FSMA 206A(3)	The period for which a suspension or restriction is to have effect may not exceed 12 months.	A suspension may not exceed 12 months.	Yes	No	No
FSMA 206A(4)	A suspension may relate only to the carrying on of an activity in specified circumstances.	A suspension may relate only to specified circumstances.	Yes	No	No
FSMA 206A(5)	"A restriction may, in particular, be imposed so as to require the person concerned to take, or refrain from taking, specified action."	A restriction may be imposed to require the person to take specified action.	Yes	No	No
FSMA 206A(6)	The appropriate regulator may— (a) withdraw a suspension or restriction; or (b) vary a suspension or restriction so as to reduce the period for which it has effect or otherwise to limit its effect.	The regulator may— (a) withdraw a suspension; or (b) reduce the period for which it has effect or otherwise to limit its effect.	No	No	Yes
FSMA 206A(6)	The appropriate regulator may—	The regulator may—	Yes	yes	No
FSMA 206A(6)	withdraw a suspension or restriction; or	withdraw a suspension; or	Yes	yes	No
FSMA 206A(6)	vary a suspension or restriction so as to reduce the period for which it has effect or otherwise to limit its effect.	reduce the period for which it has effect or otherwise to limit its effect.	Yes	yes	No
FSMA 206A(7)	The power under this section may (but need not) be exercised so as to have effect in relation to all the regulated activities that the person concerned carries on.	The power under this section may be exercised to have effect in relation to all the regulated activities that the person carries on.	Yes	No	No
FSMA 206A(8)	"Any one or more of the powers under— (a) subsection (1)(a) and (b) of this section, and (b) sections 205 and 206, may be exercised in relation to the same contravention."	"Any of the powers under— (a) subsection (1)(a) and (b), and (b) sections 205 and 206, may be exercised in relation to the same contravention."	No	No	Yes
FSMA 206A(8)	Any one or more of the powers under—	Any of the powers under—	Yes	yes	No
FSMA 206A(8)	"subsection (1)(a) and (b) of this section, and"	"subsection (1)(a) and (b), and"	Yes	yes	No
FSMA 208(1)	"If a regulator decides— (a) to publish a statement under section 205 (whether or not in the terms proposed), (b) to impose a penalty under section 206 (whether or not of the amount roposed), or (c) to suspend a permission or impose a restriction under section 206A (whether or not in the manner proposed), it must without delay give the authorised person concerned a decision notice.
"	"If a regulator decides— (a) to publish a statement under section 205, (b) to impose a penalty under section 206, or (c) to suspend a permission or impose a restriction under section 206A, it must give the authorised person a decision notice.
"	No	No	Yes
FSMA 208(1)	"to publish a statement under section 205 (whether or not in the terms proposed),"	"to publish a statement under section 205,"	Yes	yes	No
FSMA 208(1)	"to impose a penalty under section 206 (whether or not of the amount roposed), or"	"to impose a penalty under section 206, or"	Yes	yes	No
FSMA 208(1)	to suspend a permission or impose a restriction under section 206A (whether or not in the manner proposed)	"to suspend a permission or impose a restriction under section 206A,"	Yes	yes	No
FSMA 208(1)	it must without delay give the authorised person concerned a decision notice.	it must give the authorised person a decision notice.	Yes	yes	No
FSMA 209	"After a statement under section 205 is published, the regulator concerned must send a copy of it to the authorised person and to any person on whom a copy of the decision notice was given under section 393(4).
"	"After a statement is published, the regulator must send a copy of it to the authorised person.
"	Yes	No	No
FSMA 210(1)	"Each regulator must prepare and issue a statement of its policy with respect to— (a) the imposition of penalties, suspensions or restrictions under this Part; (b) the amount of penalties under this Part; and (c) the period for which suspensions or restrictions under this Part are to have effect."	Each regulator must issue its policy with respect to— (a) the imposition of penalties or restrictions; (b) the amount of penalties; and (c) the period for which suspensions are to have effect.	No	No	Yes
FSMA 210(1)	Each regulator must prepare and issue a statement of its policy with respect to—	Each regulator must issue its policy with respect to—	Yes	yes	No
FSMA 210(1)	"the imposition of penalties, suspensions or restrictions under this Part;"	the imposition of penalties or restrictions;	Yes	yes	No
FSMA 210(1)	the amount of penalties under this Part; and	the amount of penalties; and	Yes	yes	No
FSMA 210(1)	the period for which suspensions or restrictions under this Part are to have effect.	the period for which suspensions are to have effect.	Yes	yes	No
FSMA 210(1A)	"Each regulator's policy with respect to the imposition of penalties, suspensions or restrictions under this Part must include policy with respect to their imposition in relation to conduct which constitutes or may constitute an offence by virtue of section 23(1A) (authorised persons carrying on credit-related regulated activities otherwise than in accordance with permission)."	Each regulator's policy with respect to the imposition of penalties or restrictions must include policy in relation to conduct which may constitute an offence by virtue of section 23(1A).	Yes	No	No
FSMA 210(2)	"A regulator's policy in determining what the amount of a penalty should be, or what the period for which a suspension or restriction is to have effect should be, must include having regard to— (a) the seriousness of the contravention in question in relation to the nature of the requirement contravened; (b) the extent to which that contravention was deliberate or reckless; and (c) whether the person against whom action is to be taken is an individual."	"A regulator's policy in determining the amount of a penalty, or the period a suspension or restriction is to have effect, must include having regard to— (a) the seriousness of the contravention; (b) the extent to which that contravention was deliberate; and (c) whether the person is an individual."	No	No	Yes
FSMA 210(2)	"A regulator's policy in determining what the amount of a penalty should be, or what the period for which a suspension or restriction is to have effect should be, must include having regard to—"	"A regulator's policy in determining the amount of a penalty, or the period a suspension or restriction is to have effect, must include having regard to—"	Yes	yes	No
FSMA 210(2)	the seriousness of the contravention in question in relation to the nature of the requirement contravened;	the seriousness of the contravention;	Yes	yes	No
FSMA 210(2)	the extent to which that contravention was deliberate or reckless; and	the extent to which that contravention was deliberate; and	Yes	yes	No
FSMA 210(2)	whether the person against whom action is to be taken is an individual.	whether the person is an individual.	Yes	yes	No
FSMA 210(3)	A regulator may at any time alter or replace a statement issued by it under this section.	A regulator may alter a statement issued by it.	Yes	No	No
FSMA 210(4)	"If a statement issued under this section is altered or replaced by a regulator, the regulator must issue the altered or replacement statement."	"If a statement is altered by a regulator, the regulator must issue the altered statement."	Yes	No	No
FSMA 210(5)	"A regulator must, without delay, give the Treasury a copy of any statement which it publishes under this section."	A regulator must give the Treasury a copy of any statement which it publishes under this section.	Yes	No	No
FSMA 210(6)	A statement issued under this section by a regulator must be published by the regulator in the way appearing to the regulator to be best calculated to bring it to the attention of the public.	A statement under this section must be published in the way appearing to the regulator to best bring it to the attention of the public.	Yes	No	No
FSMA 210(7)	"In exercising, or deciding whether to exercise, its power under section 206 or 206 in the case of any particular contravention, a regulator must have regard to any statement published by it under this section and in force at the time when the contravention in question occurred."	"In exercising its power under section 206 or 206, a regulator must have regard to any statement published by it and in force at the time when the contravention in question occurred."	Yes	No	No
FSMA 210(8)	The regulator may charge a reasonable fee for providing a person with a copy of the statement.	The regulator may charge a fee for providing a copy of the statement.	Yes	No	No
FSMA 211(1)	"Before a regulator issues a statement under section 210, the regulator must publish a draft of the proposed statement in the way appearing to the regulator to be best calculated to bring it to the attention of the public."	"Before a regulator issues a statement, the regulator must publish a draft statement in the way appearing to the regulator to best bring it to the attention of the public."	Yes	No	No
FSMA 211(2)	The draft must be accompanied by notice that representations about the proposal may be made to the regulator within a specified time.	The draft must be accompanied by notice that representations may be made to the regulator.	Yes	No	No
FSMA 211(3)	"Before issuing the proposed statement, the regulator must have regard to any representations made to it in accordance with subsection (2)."	"Before issuing the statement, the regulator must have regard to any representations made to it."	Yes	No	No
FSMA 211(4)	"If the regulator issues the proposed statement it must publish an account, in general terms, of— (a) the representations made to it in accordance with subsection (2); and (b) its response to them."	If the regulator issues the proposed statement it must publish an account of— (a) the representations made to it; and (b) its response.	No	No	Yes
FSMA 211(4)	"If the regulator issues the proposed statement it must publish an account, in general terms, of—"	If the regulator issues the proposed statement it must publish an account of—	Yes	yes	No
FSMA 211(4)	the representations made to it in accordance with subsection (2); and	the representations made to it;	Yes	yes	No
FSMA 211(4)	its response to them.	its response.	Yes	yes	No
FSMA 211(5)	"If the statement differs from the draft published under subsection (1) in a way which is, in the opinion of the regulator, significant, the regulator must (in addition to complying with subsection (4)) publish details of the difference."	"If the statement differs from the draft in a way which is significant, the regulator must publish details of the difference."	Yes	No	No
FSMA 211(6)	A regulator may charge a reasonable fee for providing a person with a copy of a draft published under subsection (1).	A regulator may charge a fee for providing a copy of a draft.	Yes	No	No
FSMA 211(7)	This section also applies to a proposal to alter or replace a statement.	This section also applies to a proposal to alter a statement.	Yes	No	No
FSMA 212(1)	The scheme manager” means the body corporate established by the Financial Services Authority under this section as originally enacted.	The scheme manager means the body established by the Financial Services Authority.	Yes	No	No
FSMA 212(2)	"The regulators must take such steps as are necessary to ensure that the scheme manager is, at all times, capable of exercising the functions conferred on it by or under this Part or Part 15A."	The regulators must take steps to ensure the scheme manager is capable of exercising the functions conferred on it.	Yes	No	No
FSMA 212(3)	The constitution of the scheme manager must provide for it to have— (a) a chairman; (aa) a chief executive (who is to be the accounting officer); and (b) a board (which must include the chairman and chief executive ) whose members are the scheme manager’s directors.	The scheme manager must have— (a) a chairman; (aa) a chief executive; and (b) a board whose members are the scheme manager’s directors.	No	No	Yes
FSMA 212(3)	The constitution of the scheme manager must provide for it to have—	The scheme manager must have—	Yes	yes	No
FSMA 212(3)	a chief executive (who is to be the accounting officer)	a chief executive	No	yes	No
FSMA 212(3)	a board (which must include the chairman and chief executive ) whose members are the scheme manager’s directors.	a board whose members are the scheme manager’s directors.	Yes	yes	No
FIA 45(1)	"The Minister for the Cabinet Office shall issue, and may from time to time revise, a code of practice providing guidance to public authorities as to the practice which it would, in his opinion, be desirable for them to follow in connection with the discharge of the authorities’ functions under Part I."	"The Minister shall issue, and may revise, a code of practice providing guidance to public authorities as to the discharge of the authorities’ functions under Part I."	Yes	No	No
FIA 45(2)	"The code of practice must, in particular, include provision relating to— (a) the provision of advice and assistance by public authorities to persons who propose to make, or have made, requests for information to them, (b) the transfer of requests by one public authority to another public authority by which the information requested is or may be held, (c) consultation with persons to whom the information requested relates or persons whose interests are likely to be affected by the disclosure of information, (d) the inclusion in contracts entered into by public authorities of terms relating to the disclosure of information, (da) the disclosure by public authorities of datasets held by them, and (e) the provision by public authorities of procedures for dealing with complaints about the handling by them of requests for information."	"The code of practice must include provision relating to— (a) the provision of advice by public authorities to persons who propose to make requests for information, (b) the transfer of requests by one public authority to another public authority, (c) consultation with persons to whom the information requested relates, (d) the inclusion in contracts of terms relating to the disclosure of information, (da) the disclosure by public authorities of datasets held by them, and (e) procedures for dealing with complaints about the handling by them of requests for information."	No	No	Yes
FIA 45(2)	"The code of practice must, in particular, include provision relating to—"	The code of practice must include provision relating to—	Yes	yes	No
FIA 45(2)	"the provision of advice and assistance by public authorities to persons who propose to make, or have made, requests for information to them,"	"the provision of advice by public authorities to persons who propose to make requests for information,"	Yes	yes	No
FIA 45(2)	"the transfer of requests by one public authority to another public authority by which the information requested is or may be held,"	"the transfer of requests by one public authority to another public authority,"	Yes	yes	No
FIA 45(2)	"consultation with persons to whom the information requested relates or persons whose interests are likely to be affected by the disclosure of information,"	"consultation with persons to whom the information requested relates,"	Yes	yes	No
FIA 45(2)	"the inclusion in contracts entered into by public authorities of terms relating to the disclosure of information,"	"the inclusion in contracts of terms relating to the disclosure of information,"	Yes	yes	No
FIA 45(2)	"the disclosure by public authorities of datasets held by them, and"	"the disclosure by public authorities of datasets held by them, and"	Yes	yes	No
FIA 45(2)	the provision by public authorities of procedures for dealing with complaints about the handling by them of requests for information.	procedures for dealing with complaints about the handling by them of requests for information.	Yes	yes	No
FIA 45(2A)	"Provision of the kind mentioned in subsection (2)(da) may, in particular, include provision relating to— (a) the giving of permission for datasets to be re-used, (b) the disclosure of datasets in an electronic form which is capable of re-use, (c) the making of datasets available for re-use in accordance with the terms of a licence, (d) other matters relating to the making of datasets available for re-use, (e) standards applicable to public authorities in connection with the disclosure of datasets."	"Provision of the kind mentioned in subsection (2)(da) may include— (a) permission for datasets to be re-used, (b) disclosure of datasets in an electronic form, (c) making datasets available for re-use in accordance with a licence, (d) other matters relating to making datasets available for re-use, (e) standards applicable to public authorities in connection with the disclosure of datasets."	No	No	Yes
FIA 45(2A)	"Provision of the kind mentioned in subsection (2)(da) may, in particular, include provision relating to—"	Provision of the kind mentioned in subsection (2)(da) may include—	Yes	yes	No
FIA 45(2A)	"the giving of permission for datasets to be re-used,"	"permission for datasets to be re-used,"	Yes	yes	No
FIA 45(2A)	"the disclosure of datasets in an electronic form which is capable of re-use,"	"disclosure of datasets in an electronic form,"	Yes	yes	No
FIA 45(2A)	"the making of datasets available for re-use in accordance with the terms of a licence,"	"making datasets available for re-use in accordance with a licence,"	Yes	yes	No
FIA 45(2A)	"other matters relating to the making of datasets available for re-use,"	"other matters relating to making datasets available for re-use,"	Yes	yes	No
FIA 45(2A)	standards applicable to public authorities in connection with the disclosure of datasets.	standards applicable to public authorities in connection with the disclosure of datasets.	Yes	yes	No
FIA 45(4)	"Before issuing or revising any code under this section, the Minister for the Cabinet Office shall consult the Commissioner."	"Before issuing any code under this section, the Minister shall consult the Commissioner."	Yes	No	No
FIA 45(5)	The Minister for the Cabinet Office shall lay before each House of Parliament any code or revised code made under this section.	The Minister shall lay before each House of Parliament any code made under this section.	Yes	No	No
FIA 46(1)	"The Secretary of State shall issue, and may from time to time revise, a code of practice providing guidance to relevant authorities as to the practice which it would, in his opinion, be desirable for them to follow in connection with the keeping, management and destruction of their records."	"The Secretary of State shall issue, and may revise, a code of practice providing guidance to relevant authorities in connection with the keeping, management and destruction of their records."	Yes	No	No
FIA 46(2)	"For the purpose of facilitating the performance by the Public Record Office, the Public Record Office of Northern Ireland and other public authorities of their functions under this Act in relation to records which are public records for the purposes of the Public Records Act 1958 or the Public Records Act (Northern Ireland) 1923, the code may also include guidance as to— (a) the practice to be adopted in relation to the transfer of records under section 3(4) of the Public Records Act 1958 or section 3 of the Public Records Act (Northern Ireland) 1923, and (b) the practice of reviewing records before they are transferred under those provisions."	"The code may also include guidance as to— (a) the transfer of records under section 3(4) of the Public Records Act 1958 or section 3 of the Public Records Act (Northern Ireland) 1923, and (b) the practice of reviewing records before they are transferred."	No	No	Yes
FIA 46(2)	"For the purpose of facilitating the performance by the Public Record Office, the Public Record Office of Northern Ireland and other public authorities of their functions under this Act in relation to records which are public records for the purposes of the Public Records Act 1958 or the Public Records Act (Northern Ireland) 1923, the code may also include guidance as to—"	The code may also include guidance as to—	No	yes	No
FIA 46(2)	"the practice to be adopted in relation to the transfer of records under section 3(4) of the Public Records Act 1958 or section 3 of the Public Records Act (Northern Ireland) 1923, and"	"the transfer of records under section 3(4) of the Public Records Act 1958 or section 3 of the Public Records Act (Northern Ireland) 1923, and"	Yes	yes	No
FIA 46(2)	the practice of reviewing records before they are transferred under those provisions.	the practice of reviewing records before they are transferred.	Yes	yes	No
FIA 46(3)	"In exercising his functions under this section, the Secretary of State shall have regard to the public interest in allowing public access to information held by relevant authorities."	The Secretary of State shall have regard to the public interest in allowing public access to information held by relevant authorities.	Yes	No	No
FIA 47(1)	"It shall be the duty of the Commissioner to promote the following of good practice by public authorities and, in particular, so to perform his functions under this Act as to promote the observance by public authorities of— (a) the requirements of this Act, and (b) the provisions of the codes of practice under sections 45 and 46."	"It shall be the duty of the Commissioner to promote and to perform his functions as to promote the observance by public authorities of— (a) the requirements of this Act, and (b) the provisions of the codes of practice under sections 45 and 46."	No	No	Yes
FIA 47(1)	"It shall be the duty of the Commissioner to promote the following of good practice by public authorities and, in particular, so to perform his functions under this Act as to promote the observance by public authorities of—"	It shall be the duty of the Commissioner to promote and to perform his functions as to promote the observance by public authorities of—	Yes	yes	No
FIA 47(2)	"The Commissioner shall arrange for the dissemination in such form and manner as he considers appropriate of such information as it may appear to him expedient to give to the public— (a) about the operation of this Act, (b) about good practice, and (c) about other matters within the scope of his functions under this Act, and may give advice to any person as to any of those matters.
"	"The Commissioner shall arrange for the dissemination of such information as it may appear to him expedient to give to the public— (a) about the operation of this Act, (b) about good practice, and (c) about his functions, and may give advice as to any of those matters.
"	No	No	Yes
FIA 47(2)	The Commissioner shall arrange for the dissemination in such form and manner as he considers appropriate of such information as it may appear to him expedient to give to the public—	The Commissioner shall arrange for the dissemination of such information as it may appear to him expedient to give to the public—	Yes	yes	No
FIA 47(2)	"about other matters within the scope of his functions under this Act,"	"about his functions,"	Yes	yes	No
FIA 47(2)	and may give advice to any person as to any of those matters.	and may give advice as to any of those matters.	Yes	yes	No
FIA 48(1)	"If it appears to the Commissioner that the practice of a public authority in relation to the exercise of its functions under this Act does not conform with that proposed in the codes of practice under sections 45 and 46, he may give to the authority a recommendation (in this section referred to as a “practice recommendation”) specifying the steps which ought in his opinion to be taken for promoting such conformity."	"the Commissioner in relation to the codes of practice under sections 45 and 46, may give to the authority a recommendation specifying the steps to be taken for promoting conformity."	Yes	No	No
FIA 48(2)	"A practice recommendation must be given in writing and must refer to the particular provisions of the code of practice with which, in the Commissioner’s opinion, the public authority’s practice does not conform."	"A practice recommendation must be given in writing and must refer to the provisions of the code which, in the Commissioner’s opinion, the public authority’s practice does not conform."	Yes	No	No
FIA 48(3)	"Before giving to a public authority other than the Public Record Office a practice recommendation which relates to conformity with the code of practice under section 46 in respect of records which are public records for the purposes of the Public Records Act 1958, the Commissioner shall consult the Keeper of Public Records."	Before giving a practice recommendation in respect of public records the Commissioner shall consult the Keeper of Public Records.	Yes	No	No
FIA 50(1)	"Any person (in this section referred to as “the complainant”) may apply to the Commissioner for a decision whether, in any specified respect, a request for information made by the complainant to a public authority has been dealt with in accordance with the requirements of Part I."	Any person may apply to the Commissioner for a decision whether a request for information has been dealt with in accordance with the requirements of Part I.	Yes	No	No
FIA 50(2)	"On receiving an application under this section, the Commissioner shall make a decision unless it appears to him— (a) that the complainant has not exhausted any complaints procedure which is provided by the public authority in conformity with the code of practice under section 45, (b) that there has been undue delay in making the application, (c) that the application is frivolous or vexatious, or (d) that the application has been withdrawn or abandoned."	"On receiving an application, the Commissioner shall make a decision unless— (a) the complainant has not exhausted any complaints procedure provided by the public authority, (b) there has been undue delay in making the application, (c) the application is frivolous, or (d) the application has been abandoned."	No	No	Yes
FIA 50(2)	"On receiving an application under this section, the Commissioner shall make a decision unless it appears to him—"	"On receiving an application, the Commissioner shall make a decision unless—"	Yes	yes	No
FIA 50(2)	"that the complainant has not exhausted any complaints procedure which is provided by the public authority in conformity with the code of practice under section 45,"	"the complainant has not exhausted any complaints procedure provided by the public authority,"	Yes	yes	No
FIA 50(2)	"that there has been undue delay in making the application,"	"there has been undue delay in making the application,"	Yes	yes	No
FIA 50(2)	that the application has been withdrawn or abandoned.	the application has been abandoned.	Yes	yes	No
FIA 50(3)	"Where the Commissioner has received an application under this section, he shall either— (a) notify the complainant that he has not made any decision under this section as a result of the application and of his grounds for not doing so, or (b) serve notice of his decision (in this Act referred to as a “decision notice”) on the complainant and the public authority."	"Where the Commissioner has received an application, he shall either— (a) notify the complainant that he has not made any decision and of his grounds for not doing so, or (b) serve notice of his decision on the complainant and the public authority."	No	No	Yes
FIA 50(3)	"Where the Commissioner has received an application under this section, he shall either—"	"Where the Commissioner has received an application, he shall either—"	Yes	yes	No
FIA 50(3)	"notify the complainant that he has not made any decision under this section as a result of the application and of his grounds for not doing so, or"	"notify the complainant that he has not made any decision and of his grounds for not doing so, or"	Yes	yes	No
FIA 50(3)	serve notice of his decision (in this Act referred to as a “decision notice”) on the complainant and the public authority.	serve notice of his decision on the complainant and the public authority.	No	yes	No
FIA 50(4)	"Where the Commissioner decides that a public authority— (a) has failed to communicate information, or to provide confirmation or denial, in a case where it is required to do so by section 1(1), or (b) has failed to comply with any of the requirements of sections 11 and 17, the decision notice must specify the steps which must be taken by the authority for complying with that requirement and the period within which they must be taken."	"Where the Commissioner decides that a public authority— (a) has failed to communicate information, or (b) has failed to comply with the requirements of sections 11 and 17, the decision notice must specify the steps which must be taken by the authority for complying with that requirement."	No	No	Yes
FIA 50(4)	"has failed to communicate information, or to provide confirmation or denial, in a case where it is required to do so by section 1(1),"	"has failed to communicate information, or"	Yes	yes	No
FIA 50(4)	"has failed to comply with any of the requirements of sections 11 and 17,"	"has failed to comply with the requirements of sections 11 and 17,"	Yes	yes	No
FIA 50(4)	the decision notice must specify the steps which must be taken by the authority for complying with that requirement and the period within which they must be taken.	the decision notice must specify the steps which must be taken by the authority for complying with that requirement.	Yes	yes	No
FIA 50(5)	A decision notice must contain particulars of the right of appeal conferred by section 57.	A decision notice must contain the right of appeal.	Yes	No	No
